Wall time,Step,Value
1728800625.301877,399108,570.0
1728800628.781058,399991,2450.0
1728800641.4092534,401404,770.0
1728800652.7433314,404145,1590.0
1728800654.8843722,404662,410.0
1728800662.3442852,406463,1800.0
1728800665.6277628,407255,1180.0
1728800670.649804,408468,1070.0
1728800675.3290744,409597,1020.0
1728800686.8355238,410882,1430.0
1728800689.178896,411471,650.0
1728800691.3856614,412011,560.0
1728800697.4941523,413529,650.0
1728800701.052857,414407,1220.0
1728800704.5060904,415289,1270.0
1728800706.4208438,415777,440.0
1728800709.7361498,416623,1270.0
1728800712.8330626,417412,1170.0
1728800714.84005,417920,540.0
1728800717.172436,418495,640.0
1728800720.3526692,419285,970.0
1728800732.3016407,420078,1380.0
1728800735.6321073,420925,1170.0
1728800741.7071497,422429,1520.0
1728800750.4898524,424602,1460.0
1728800752.8604076,425170,630.0
1728800756.0723262,425937,2450.0
1728800761.1361396,427148,470.0
1728800763.9011784,427850,870.0
1728800765.7520015,428316,530.0
1728800768.8645813,429105,1910.0
1728800771.1771452,429682,590.0
1728800793.62326,433443,820.0
1728800796.8363924,434222,1100.0
1728800805.7792459,436402,1600.0
1728800808.4173148,437062,1250.0
1728800814.0745022,438452,520.0
1728800817.5833318,439328,950.0
1728800834.0641415,441803,1160.0
1728800836.841797,442467,900.0
1728800839.0958278,443007,740.0
1728800844.7179708,444349,550.0
1728800848.3821192,445220,1490.0
1728800850.8800519,445815,1060.0
1728800854.4906263,446673,1590.0
1728800858.0178154,447508,2090.0
1728800860.683406,448149,900.0
1728800863.2391865,448771,990.0
1728800875.429447,450010,1150.0
1728800878.5926776,450804,2050.0
1728800880.5763113,451282,500.0
1728800882.5412586,451750,590.0
1728800886.1402106,452602,2210.0
1728800888.1791358,453098,580.0
1728800890.8632376,453756,700.0
1728800894.2310152,454561,1440.0
1728800896.4625032,455093,580.0
1728800906.02123,457367,1070.0
1728800911.9712071,458795,1040.0
1728800915.204295,459569,1090.0
1728800931.1836226,461257,1570.0
1728800937.0737572,462665,690.0
1728800939.89291,463341,700.0
1728800943.2718194,464149,960.0
1728800946.2971458,464872,670.0
1728800949.4895563,465634,750.0
1728800954.9940476,466957,1020.0
1728800957.708747,467639,690.0
1728800980.7311301,471130,760.0
1728800983.3432078,471754,730.0
1728800986.1758122,472428,1440.0
1728800989.4438956,473208,1910.0
1728800992.6215053,473967,900.0
1728800998.7459354,475426,1110.0
1728801001.2681959,476035,890.0
1728801007.4824603,477568,1210.0
1728801010.9642594,478412,1690.0
1728801028.3344152,480648,1110.0
1728801030.6710596,481201,930.0
1728801034.3699377,482075,980.0
1728801036.8782942,482672,1170.0
1728801039.8137026,483370,1430.0
1728801043.0688832,484152,1140.0
1728801044.6668544,484551,370.0
1728801047.7903082,485329,1730.0
1728801050.6781702,486049,750.0
1728801053.2282221,486685,790.0
1728801056.8449576,487585,1190.0
1728801060.8299713,488574,1420.0
1728801066.5530252,489972,930.0
1728801079.8505301,491420,1230.0
1728801083.2973402,492233,1240.0
1728801087.4900954,493218,530.0
1728801090.107967,493839,860.0
1728801092.9433854,494512,1100.0
1728801098.0133462,495746,1000.0
1728801099.8768425,496208,580.0
1728801105.0067337,497450,410.0
1728801107.2997906,497998,1340.0
1728801113.8186152,499559,1080.0
1728801127.4124491,500971,1040.0
1728801137.0305016,503253,1260.0
1728801139.6584084,503904,1080.0
1728801147.9256926,505952,800.0
1728801152.6645494,507115,870.0
